case,rlt,boxsize,time,timestep,Ns,Nvpar,Nmu,dtim,krhomax,Nmod,Nx,ikx,finit,stepsize_all,evo_start,evo_end,sel_start,sel_end,error_index,converge,mode,backup,path
S6,6.0,2x2,18000.0,30000.0,16,48,9,0.02,1.4,41,165,5,cosine2,1000,"[500, 1500, 4000]","[1000, 2000, 5500]",,,,True,2,True,/data/S6_rlt6.0/boxsize2x2/Ns16/Nvpar48/Nmu9
S6,6.0,2.5x2.5,3402.1,5672,16,48,9,0.02,1.4,51,207,5,cosine2,1000,"[500, 1500, 4000]","[1000, 2000, 5500]",[2000],[3000],,True,3,False,/data/S6_rlt6.0/boxsize2.5x2.5/Ns16/Nvpar48/Nmu9
S6,6.0,3x1,48000.0,80000.0,16,48,9,0.02,1.4,21,247,15,cosine2,1000,"[500, 1500, 4000]","[1000, 2000, 5500]","[10000, 28000]","[12000, 31000]",,True,3,True,/data/S6_rlt6.0/boxsize3x1/Ns16/Nvpar48/Nmu9
S6,6.0,3x1.5,16840.3,28068,16,48,9,0.02,1.4,31,247,10,cosine2,1000,"[500, 1500, 4000]","[1000, 2000, 5500]",[11000],[12000],,True,4,True,/data/S6_rlt6.0/boxsize3x1.5/Ns16/Nvpar48/Nmu9
S6,6.0,3x1.5,14170.0,23618,16,48,9,0.02,1.4,31,247,10,cosine2,1000,"[500, 1500, 4000]","[1000, 2000, 5500]",[11000],[12000],23618,True,3,True,/data/S6_rlt6.0/boxsize3x1.5/Ns16/Nvpar48/Nmu9/Broken
S6,6.0,3x2.5,6000.0,10000.0,16,48,9,0.02,1.4,51,247,6,cosine2,1000,"[500, 1500, 4000]","[1000, 2000, 5500]","[10000, 28000]","[12000, 31000]",,True,3 & 4,True,/data/S6_rlt6.0/boxsize3x2.5/Ns16/Nvpar48/Nmu9
S6,6.0,3x3,7847.0,13083.0,16,48,9,0.02,1.4,61,247,5,cosine2,1000,"[500, 1500, 4000]","[1000, 2000, 5500]",[4000],[7000],,True,4,True,/data/S6_rlt6.0/boxsize3x3/Ns16/Nvpar48/Nmu9
S6,6.0,3x3,7847.0,13083.0,16,48,9,0.02,1.4,61,247,5,cosine5,1000,"[500, 1500, 4000]","[1000, 2000, 5500]",[2000],[3000],"[1840, 1845]",True,4,False,/data/S6_rlt6.0/boxsize3x3/Ns16/Nvpar48/Nmu9/cosine5
S6,6.0,3x3,7847.0,13083.0,16,48,9,0.02,1.4,61,247,5,noise,1000,"[500, 1500, 4000]","[1000, 2000, 5500]",[4000],[5000],"[1840, 1842]",True,3,False,/data/S6_rlt6.0/boxsize3x3/Ns16/Nvpar48/Nmu9/noise
S6,6.0,3x5,4769.0,7958.0,16,48,9,0.02,1.4,101,247,3,cosine2,1000,"[500, 1500, 4000]","[1000, 2000, 5500]",,,,True,4,True,/data/S6_rlt6.0/boxsize3x5/Ns16/Nvpar48/Nmu9
S6,6.0,4x1,30000.0,50000.0,16,48,9,0.02,1.4,21,329,20,cosine2,1000,"[24000, 26000]","[25500, 28000]",,,47084,True,4,True,/data/S6_rlt6.0/boxsize4x1/Ns16/Nvpar48/Nmu9
S6,6.2,2x2,6000.0,10000.0,16,64,9,0.02,1.4,41,165,5,cosine2,1000,"[500, 1500, 4000]","[1000, 2000, 5500]",,,,True,2,True,/data/S6_rlt6.2/boxsize2x2/Ns16/Nvpar64/Nmu9
S6,6.2,3x3,14682.7,24475.0,16,48,9,0.02,1.4,61,247,5,cosine2,2000,"[500, 1500, 4000]","[1000, 2000, 5500]",,,"[14473,16132]",True,3,True,/data/S6_rlt6.2/boxsize3x3/Ns16/Nvpar48/Nmu9
S6,6.3,1x1,6000.0,10000.0,16,64,9,0.02,1.4,21,83,5,cosine2,1000,"[500, 1500, 4000]","[1000, 2000, 5500]",,,,False,0,True,/data/S6_rlt6.3/boxsize1x1/Ns16/Nvpar64/Nmu9
S6,6.4,3x3,12000.0,20000.0,16,48,9,0.02,1.4,61,247,5,cosine2,1000,"[500, 1500, 4000]","[1000, 2000, 5500]",,,,False,0,True,/data/S6_rlt6.4/boxsize3x3/Ns16/Nvpar48/Nmu9
